MeasurementID,MeasurementDate,BodyWeight,Chest,Waist,Arms,Thighs,Calves
1,2024-09-03,95.30,111.50,88.00,43.50,65.00,42.00
2,2024-09-04,95.00,111.50,88.00,43.50,65.00,42.00
3,2024-09-05,95.60,111.50,88.00,43.50,65.00,42.00
4,2024-09-06,96.20,111.50,88.00,43.50,65.00,42.00
5,2024-09-07,96.60,113.50,89.00,44.00,65.50,42.00
6,2024-09-08,95.30,113.50,88.00,44.00,65.50,42.00
7,2024-09-09,94.60,113.50,89.00,44.00,65.50,42.00
8,2024-09-10,95.50,114.00,88.50,44.00,66.00,42.00
9,2024-09-11,95.60,114.00,88.50,44.00,66.00,42.00
10,2024-09-12,95.40,114.00,88.50,44.00,66.00,42.00
11,2024-09-13,95.30,114.00,88.00,44.00,67.00,42.00
12,2024-09-14,95.30,114.00,88.00,44.00,67.00,42.00
13,2024-09-15,95.30,114.00,88.00,44.00,67.00,42.00
14,2024-09-16,95.60,114.00,88.00,44.00,67.00,42.00
15,2024-09-17,95.60,114.00,88.00,44.00,67.00,42.00
16,2024-09-18,95.60,114.00,88.00,44.00,67.00,42.00
17,2024-09-19,95.60,114.00,88.00,44.00,67.00,42.00
18,2024-09-20,95.70,114.00,87.50,44.00,67.00,42.00
19,2024-09-21,96.60,114.00,88.00,44.00,67.00,42.00
20,2024-09-22,96.90,114.00,88.00,44.00,67.00,42.00
21,2024-09-23,96.60,114.00,88.00,44.00,67.00,42.00
22,2024-09-24,96.00,114.00,88.00,44.00,67.00,42.00
23,2024-09-25,96.60,115.00,88.00,44.00,67.50,42.00
24,2024-09-26,96.40,114.00,88.00,44.00,67.00,42.00
25,2024-09-27,96.50,114.00,88.00,44.00,67.00,42.00
26,2024-09-28,96.20,114.00,88.00,44.00,67.00,42.00
27,2024-09-29,96.40,114.00,88.00,44.00,67.00,42.00
28,2024-09-30,97.40,114.00,88.00,44.00,67.00,42.00
29,2024-10-01,96.70,114.00,88.00,44.00,67.00,42.00
30,2024-10-02,96.40,114.00,88.00,44.00,67.00,42.00
31,2024-10-03,97.00,114.00,88.00,44.00,67.00,42.00
32,2024-10-04,97.00,114.00,88.00,44.00,67.00,42.00
33,2024-10-05,97.10,114.00,88.00,44.00,67.00,42.00
34,2024-10-06,97.00,114.00,88.00,44.00,67.00,42.00
35,2024-10-07,96.60,114.00,88.00,44.00,67.00,42.00
36,2024-10-08,96.60,114.00,88.00,44.00,67.00,42.00
37,2024-10-09,96.80,115.50,88.00,44.50,68.00,42.00
