NutritionID,NutritionDate,Calories,Protein,Carbs,Fat
1,2024-09-03,2859,213.00,348.00,63.00
2,2024-09-04,2944,237.00,266.00,101.00
3,2024-09-05,3166,276.00,274.00,104.00
4,2024-09-06,2744,167.00,265.00,108.00
5,2024-09-07,2890,237.00,295.00,79.00
6,2024-09-08,2982,214.00,337.00,82.00
7,2024-09-09,2945,238.00,307.00,79.00
8,2024-09-10,2968,217.00,271.00,106.00
9,2024-09-11,2968,217.00,271.00,106.00
10,2024-09-12,2832,242.00,288.00,74.00
11,2024-09-13,2410,144.00,279.00,70.00
12,2024-09-14,2802,208.00,288.00,89.00
13,2024-09-15,3174,209.00,362.00,94.00
14,2024-09-16,2569,210.00,318.00,45.00
15,2024-09-17,3666,250.00,441.00,98.00
16,2024-09-18,3090,206.00,380.00,76.00
17,2024-09-19,3198,243.00,381.00,73.00
18,2024-09-20,3246,259.00,382.00,73.00
19,2024-09-21,3123,211.00,306.00,111.00
20,2024-09-22,3291,233.00,347.00,104.00
21,2024-09-23,2935,172.00,311.00,104.00
22,2024-09-24,3299,246.00,386.00,77.00
23,2024-09-25,2988,244.00,338.00,69.00
24,2024-09-26,3207,249.00,364.00,79.00
25,2024-09-27,3246,193.00,344.00,112.00
26,2024-09-28,3272,176.00,340.00,129.00
27,2024-09-29,3506,241.00,437.00,75.00
28,2024-09-30,3137,235.00,329.00,90.00
29,2024-10-01,3137,235.00,329.00,90.00
30,2024-10-02,3135,203.00,373.00,87.00
31,2024-10-03,3155,244.00,352.00,81.00
32,2024-10-04,2662,194.00,309.00,68.00
33,2024-10-05,2891,212.00,366.00,62.00
34,2024-10-06,2897,181.00,309.00,100.00
35,2024-10-07,3149,224.00,379.00,74.00
36,2024-10-08,2934,236.00,335.00,68.00
37,2024-10-09,3409,241.00,403.00,87.00
